German,English,points
ich,I,2
sie,you,4
das,that,4
ist,is,2
du,you,4
nicht,not,4
die,the,4
es,it,4
und,and,2
der,the,2
wir,weather,4
was,What,2
zu,to,2
er,he,4
ein,a ,2
in,in,6
ja,Yes,4
mir,to me,2
mit,With,2
wie,how,4
den,the,4
mich,me,4
auf,on,4
dass,that,4
aber,but,4
eine,one,4
so,so,2
hat,Has,4
hier,here,4
haben,to have,4
für,for,4
sind,are,4
war,was,4
von,from,4
wenn,if,4
dich,you,2
ihr,her,2
nein,no,4
habe,have,2
an,at,4
bin,am,4
noch,still,4
nur,just,4
da,there,4
dir,to you,4
sich,itself,4
einen,a,4
uns,us,2
hast,have,4
dem,to the,4
kann,can,4
gut,Good,4
auch,also,4
schon,beautiful,4
als,as,4
sein,be,2
mal,times,4
jetzt,now,4
ihn,him,4
dann,then,4
aus,out of,4
meine,think,4
um,around,4
im,in the,4
wird,will,4
mein,my,4
bist,are you,4
doch,indeed,4
alles,everything,4
weiß,White,4
keine,none,3
oder,or,4
nach,to,4
s,S,2
nichts,Nothing,4
man,one,4
muss,got to,2
werden,will,4
will,want,4
ihnen,them,2
geht,goes,4
wo,Where,2
etwas,something,4
oh,Oh,4
mehr,more,6
bei,at,4
also,so,4
bitte,You're welcome,4
immer,always,8
hab,have,4
warum,why,2
vor,in front,6
los,Come on,4
können,be able,4
wieder,once again,4
sagen,to say,4
machen,do,4
danke,Thank you,4
sehr,very,4
alle,Everyone,4
